text,label
Is cashless hospitalization available with Star Health insurance?,insurance_issue
Mere family member ki condition suddenly serious ho gayi hai. Hume urgently hospital jaana hai aur emergency appointment pending hai.,emergency_appointment
Urgent emergency doctor appointment required for serious patient.,emergency_appointment
Schedule a consultation with orthopedic doctor tomorrow.,appointment_booking
Query regarding dosage instructions on my digital prescription.,prescription
Emergency appointment slot booking pending payment deducted.,emergency_appointment
Cancel my appointment with Dr Sharma tomorrow.,appointment_cancellation
Bhai mere family member ki condition suddenly serious ho gayi hai aur humein urgently hospital le jaana hai emergency appointment pending.,emergency_appointment
Family member ki condition serious hai aur emergency appointment pending hai.,emergency_appointment
Hospital admission room billing discrepancy and itemized bill.,billing_issue
Hospital me emergency appointment slot book karni hai jaldi.,emergency_appointment
Unable to download MRI scan radiologist report from app.,test_report
What is the qualification and OPD timing of Dr. Sharma?,doctor_availability
Lab test report abhi tak download nahi ho raha portal se.,test_report
I need to cancel my appointment with Dr Sharma tomorrow.,appointment_cancellation
Doctor appointment reschedule karna hai kal ke liye.,appointment_rescheduling
Book OPD consultation slot with pediatrician.,appointment_booking
Doctor ki availability aur OPD timing kya hai?,doctor_availability
Emergency medical assistance needed for heart attack symptoms immediately.,emergency_medical_assistance
"Doctor cancelled my appointment, how do I reschedule?",appointment_rescheduling
Vaccination schedule and general hospital clinic inquiry.,other
Patient unconscious call ambulance and emergency medical team now.,emergency_medical_assistance
Doctor appointment cancel karke refund process karein.,appointment_cancellation
Dawai kitni baar leni hai prescription me clear nahi hai.,prescription
