text,label
Recharge done on wrong mobile number by mistake.,wrong_recharge
I recharged for 299 pack but unlimited 5G is inactive.,plan_activation_issue
Failed recharge refund not credited back to bank account.,recharge_refund_not_received
My mobile data is not working.,data_not_working
"Bhai maine ₹599 ka recharge kiya tha. Payment successful hai aur bank se paise deduct ho gaye, lekin telecom account mein recharge update nahi hua. Purana plan hi show ho raha hai.",recharge_not_updated
Plan validity date still shows yesterday after successful recharge.,recharge_not_updated
Recharge validity portal par update nahi hui.,recharge_not_updated
₹599 recharge successful hai but account me new plan update nahi hua.,recharge_not_updated
"Frequent call drops in my area, please fix network tower.",network_issue
I recharged for 365 days pack but validity not updated on SIM.,recharge_not_updated
No network signal on my SIM card since morning.,network_issue
eSIM activation QR code expired before scanning.,sim_issue
My mobile data isn't working.,data_not_working
What are the best prepaid international roaming plans?,other
Internet data bilkul nahi chal raha speed slow hai.,data_not_working
Payment failed during mobile recharge transaction.,recharge_failed
Mobile recharge processing state me atka hua hai.,recharge_pending
Galat number par recharge ho gaya reverse kaise karein?,wrong_recharge
My recharge succeeded but mobile data is not working.,data_not_working
Recharge failed but money deducted from bank account.,recharge_failed
