text,label
Mere family member ki condition suddenly serious ho gayi hai. Hume urgently hospital jaana hai aur emergency appointment pending hai.,emergency_appointment
Bhai mere family member ki condition suddenly serious ho gayi hai aur humein urgently hospital le jaana hai emergency appointment pending.,emergency_appointment
Family member ki condition serious hai aur emergency appointment pending hai.,emergency_appointment
Hospital me emergency appointment slot book karni hai jaldi.,emergency_appointment
Urgent emergency doctor appointment required for serious patient.,emergency_appointment
Emergency appointment slot booking pending payment deducted.,emergency_appointment
Emergency medical assistance needed for heart attack symptoms immediately.,emergency_medical_assistance
Patient unconscious call ambulance and emergency medical team now.,emergency_medical_assistance
Severe bleeding and critical condition need immediate emergency medical help.,emergency_medical_assistance
Hospital emergency ambulance contact number request urgently.,emergency_medical_assistance
I need to cancel my appointment with Dr Sharma tomorrow.,appointment_cancellation
Cancel my appointment with Dr Sharma tomorrow.,appointment_cancellation
i have emergency to go out so cancel me appointment with dr harsh,appointment_cancellation
Please cancel my doctor consultation appointment for tonight.,appointment_cancellation
Doctor appointment cancel karke refund process karein.,appointment_cancellation
I need to book a doctor appointment with cardiologist.,appointment_booking
I need to book an appointment with a doctor.,appointment_booking
Schedule a consultation with orthopedic doctor tomorrow.,appointment_booking
Book OPD consultation slot with pediatrician.,appointment_booking
Doctor ka appointment book karna hai kal ke liye.,appointment_booking
"Doctor cancelled my appointment, how do I reschedule?",appointment_rescheduling
Reschedule my clinic consultation to next Monday afternoon.,appointment_rescheduling
Doctor appointment reschedule karna hai kal ke liye.,appointment_rescheduling
What is the qualification and OPD timing of Dr. Sharma?,doctor_availability
Which specialist doctor is available in evening OPD today?,doctor_availability
Doctor ki availability aur OPD timing kya hai?,doctor_availability
How many times a day should I take this antibiotic tablet?,prescription
Query regarding dosage instructions on my digital prescription.,prescription
Dawai kitni baar leni hai prescription me clear nahi hai.,prescription
When will my blood test lab report be available online?,test_report
Unable to download MRI scan radiologist report from app.,test_report
Lab test report abhi tak download nahi ho raha portal se.,test_report
Hospital admission room billing discrepancy and itemized bill.,billing_issue
Is cashless hospitalization available with Star Health insurance?,insurance_issue
Vaccination schedule and general hospital clinic inquiry.,other
