text,label
Thank you so much for resolving my refund so quickly!,happy
"Great service, very pleased with the assistance!",happy
I am satisfied with the resolution provided.,satisfied
"Everything works as expected now, thanks!",satisfied
What are the operational hours for bank branch?,neutral
Please share the syllabus for semester entrance.,neutral
Check the flight schedule for tomorrow morning.,neutral
"My transaction failed, is my money safe in bank?",concerned
Doctor appointment pending and patient condition is serious.,concerned
"₹85,000 college fee debited twice, need urgent reversal.",concerned
Family member serious hospital le jaana hai emergency appointment pending.,fearful
Chest pain emergency patient unconscious need immediate ambulance.,fearful
I am very worried about my lost baggage at airport.,anxious
Will my admission be cancelled if fee is delayed today?,anxious
I have contacted support 3 times already and nobody helped!,frustrated
"Recharge done 5 hours ago but still not updated, ridiculous!",frustrated
"This is the worst service ever, I am going to sue you!",angry
"Completely unacceptable fraud, refund my money immediately!",angry
