text,label
"₹75,000 do baar debit ho gaya merchant ko ek hi payment mili refund pending.",negative
I am extremely angry with this delay!,negative
"My order has not arrived yet, and it is 3 days late.",negative
"I really appreciate the quick refund, 5 stars!",positive
Bhai mere family member ki condition suddenly serious ho gayi hai aur humein urgently hospital le jaana hai.,negative
What is the status of my order ORD-1234?,neutral
Wonderful experience with your airlines customer desk.,positive
When will my insurance expire?,neutral
"Thanks a lot, keep up the great service!",positive
Please tell me the balance in my savings account.,neutral
"No network signal since morning, this is pathetic service.",negative
Can I change my flight departure time?,neutral
"Amazing support team, very polite and helpful.",positive
Where is the hospital located?,neutral
"Maine aaj subah apni college fees ₹85,000 pay ki dono transactions deduct ho gaye total ₹1,70,000 chala gaya.",negative
My UPI transaction failed and money was deducted.,negative
"Everything worked smoothly, thank you for the prompt reply.",positive
My flight was cancelled and I am stranded at the airport.,negative
"Money debited twice for one ticket, refund my money now!",negative
Great job! My issue was resolved within 10 minutes.,positive
"Worst customer support ever, nobody cares about customers.",negative
My insurance claim was rejected without any valid explanation.,negative
I paid my school fees.,neutral
Doctor was very kind and explained everything clearly.,positive
"This is completely unacceptable service, solve it immediately.",negative
How do I update my registered mobile number?,neutral
Kaise bhai school ka kya fee h?,neutral
