text,label
How to renew my two-wheeler insurance policy online?,policy_renewal
Reimbursement claim form submission guidelines.,reimbursement
Email digital certificate and policy bond PDF.,policy_document
How to pay insurance premium installment via Net Banking?,premium_payment
Buy motor car insurance policy quote comparison.,policy_purchase
Hospitalization cashless claim approval tracking.,claim_status
Add family member to existing floater policy.,other
Policy renewal anniversary date query.,policy_renewal
Why was my mediclaim rejected by TPA desk?,claim_rejected
I want to check status of my health insurance claim CLM-9921.,claim_status
My car accident insurance claim was rejected unfairly.,claim_rejected
Premium payment grace period query for term plan.,premium_payment
What are cashless network hospitals for Star Health in Delhi?,other
Health policy renewal premium payment link.,policy_renewal
